name,Size,Milk,Whip,Serving Size,Calories,Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrates(g),Dietary Fiber(g),Sugar(g),Protein(g),Vitamin A(%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),caffeine,Category
Blonde,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,360,Coffee
Pike,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,310,Coffee
Dark,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,260,Coffee
Americano,Grande,N/A,N/A,473 mL,15,0,0,0,0,15,3,0,0,1,0%,0%,2%,0%,225,Espresso
Starbucks Doubleshot,Grande,2%,N/A,473 mL,100,1,1,0.1,5,40,20,0,18,3,4%,0%,8%,0%,225,Espresso
Cold Brew,Grande,N/A,N/A,473 mL,3,0,0,0,0,15,0,0,0,0.2,0%,0%,2%,0%,200,Coffee
Flat White,Grande,2%,N/A,473 mL,180,7,4.5,0.3,30,160,18,0,17,12,20%,2%,40%,0%,195,Espresso
Mocha,Grande,2%,No Whip,473 mL,290,8,5,0.2,25,140,42,4,34,13,15%,2%,35%,35%,175,Espresso
Iced Coffee,Grande,N/A,N/A,473 mL,80,0.1,0,0,0,10,20,0,20,0.3,0%,0%,2%,0%,165,Coffee
Latte,Grande,2%,N/A,473 mL,190,7,4.5,0.3,30,170,19,0,17,12,20%,2%,40%,0%,150,Espresso
Cappuccino,Grande,Soy,N/A,473 mL,100,3.5,0.4,0,0,80,9,1,5,7,8%,0%,25%,10%,150,Espresso
Caramel Macchiato,Grande,2%,N/A,473 mL,250,7,4.5,0.2,25,150,35,0,33,10,20%,2%,30%,0%,150,Espresso
Espresso,Doppio,N/A,N/A,N/A,10,0,0,0,0,0,2,0,0,1,0%,0%,0%,0%,150,Espresso
Chai Tea Latte,Grande,2%,N/A,473 mL,240,4.5,2,0.1,20,115,45,0,42,8,10%,0%,25%,2%,95,Tea
Green Tea Latte,Grande,2%,N/A,473 mL,240,7,4.5,0.3,25,160,34,1,32,12,20%,15%,40%,4%,80,Tea
Decaf,Grande,N/A,N/A,473 mL,5,0.1,0,0,0,10,0,0,0,1,0%,0%,0%,0%,25,Coffee
Iced Black Tea,Grande,N/A,N/A,473 mL,80,0,0,0,0,10,20,0,20,0,0%,0%,0%,0%,25,Tea
